date,session_id,username,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10
2025-05-23,firedance.05_2025-05-23_1,firedance.05, (0), (0), (0), (0), (0), (0), (0), (0), (0), (0)
2025-05-23,pinkpunk_001_2025-05-23_1,pinkpunk_001, (0), (0), (0), (0), (0), (0), (0), (0), (0), (0)
2025-05-23,novagirls27_2025-05-23_1,novagirls27, (0), (0), (0), (0), (0), (0), (0), (0), (0), (0)
