date,session_id,username,start_time,end_time,total_diamonds,peak_viewers,duration_minutes
2025-05-23,firedance.05_2025-05-23_1,firedance.05,2025-05-23T04:35:59.110Z,2025-05-23T04:36:19.981Z,0,54,0
2025-05-23,pinkpunk_001_2025-05-23_1,pinkpunk_001,2025-05-23T04:36:01.165Z,2025-05-23T04:36:19.990Z,0,0,0
2025-05-23,novagirls27_2025-05-23_1,novagirls27,2025-05-23T04:36:04.446Z,2025-05-23T04:36:20.000Z,0,815,0
